Date,GS,price
5/19/2015,16.032,16.032
5/20/2015,15.87,15.87
5/21/2015,15.565,15.565
5/22/2015,15.531,15.531
5/26/2015,15.558,15.558
5/27/2015,15.996,15.996
5/28/2015,15.882,15.882
5/29/2015,15.823,15.823
6/1/2015,15.846,15.846
6/2/2015,16.011,16.011
6/3/2015,16.233,16.233
6/4/2015,16.217,16.217
6/5/2015,16.176,16.176
6/8/2015,16.183,16.183
6/9/2015,16.208,16.208
6/10/2015,16.176,16.176
6/11/2015,16.176,16.176
6/12/2015,16.044,16.044
6/15/2015,16.124,16.124
6/16/2015,16.198,16.198
6/17/2015,16.323,16.323
6/18/2015,16.38,16.38
6/19/2015,16.169,16.169
6/22/2015,16.028,16.028
6/23/2015,16.09,16.09
6/24/2015,16.295,16.295
6/25/2015,16.25,16.25
6/26/2015,16.521,16.521
6/29/2015,16.26,16.26
6/30/2015,16.269,16.269
7/1/2015,16.295,16.295
7/2/2015,16.225,16.225
7/6/2015,16.208,16.208
7/7/2015,16.061,16.061
7/8/2015,16.034,16.034
7/9/2015,16.105,16.105
7/10/2015,16.365,16.365
7/13/2015,16.176,16.176
7/14/2015,16.343,16.343
7/15/2015,16.343,16.343
7/16/2015,16.343,16.343
7/17/2015,16.323,16.323
7/20/2015,16.061,16.061
7/21/2015,15.807,15.807
7/22/2015,15.718,15.718
7/23/2015,15.374,15.374
7/24/2015,15.129,15.129
7/27/2015,15.148,15.148
7/28/2015,15.441,15.441
7/29/2015,15.581,15.581
7/30/2015,15.624,15.624
7/31/2015,15.728,15.728
8/3/2015,15.754,15.754
8/4/2015,15.624,15.624
8/5/2015,15.681,15.681
8/6/2015,15.537,15.537
8/7/2015,15.681,15.681
8/10/2015,15.564,15.564
8/11/2015,15.581,15.581
8/12/2015,15.556,15.556
8/13/2015,15.427,15.427
8/14/2015,15.581,15.581
8/17/2015,15.691,15.691
8/18/2015,15.581,15.581
8/19/2015,15.537,15.537
8/20/2015,15.449,15.449
8/21/2015,15.018,15.018
8/24/2015,14.4,14.4
8/25/2015,14.201,14.201
8/26/2015,14.707,14.707
8/27/2015,15.214,15.214
8/28/2015,15.514,15.514
8/31/2015,15.446,15.446
9/1/2015,15.185,15.185
9/2/2015,15.606,15.606
9/3/2015,15.62,15.62
9/4/2015,15.656,15.656
9/8/2015,16.546,16.546
9/9/2015,16.449,16.449
9/10/2015,16.563,16.563
9/11/2015,16.789,16.789
9/14/2015,16.903,16.903
9/15/2015,16.761,16.761
9/16/2015,16.886,16.886
9/17/2015,17.243,17.243
9/18/2015,16.495,16.495
9/21/2015,16.528,16.528
9/22/2015,16.156,16.156
9/23/2015,16.475,16.475
9/24/2015,16.22,16.22
9/25/2015,16.467,16.467
9/28/2015,16.3,16.3
9/29/2015,16.027,16.027
9/30/2015,16.283,16.283
10/1/2015,16.386,16.386
10/2/2015,16.339,16.339
10/5/2015,16.571,16.571
10/6/2015,16.512,16.512
10/7/2015,16.65,16.65
10/8/2015,16.597,16.597
10/9/2015,16.588,16.588
10/12/2015,16.571,16.571
10/13/2015,16.52,16.52
10/14/2015,16.512,16.512
10/15/2015,16.615,16.615
10/16/2015,16.642,16.642
10/19/2015,16.992,16.992
10/20/2015,17.081,17.081
10/21/2015,17.097,17.097
10/22/2015,17.274,17.274
10/23/2015,16.913,16.913
10/26/2015,17.036,17.036
10/27/2015,17.054,17.054
10/28/2015,17.486,17.486
10/29/2015,17.512,17.512
10/30/2015,17.378,17.378
11/2/2015,17.617,17.617
11/3/2015,17.609,17.609
11/4/2015,17.53,17.53
11/5/2015,17.556,17.556
11/6/2015,17.934,17.934
11/9/2015,18.051,18.051
11/10/2015,18.051,18.051
11/11/2015,17.626,17.626
11/12/2015,17.31,17.31
11/13/2015,17.32,17.32
11/16/2015,17.486,17.486
11/17/2015,17.265,17.265
11/18/2015,17.229,17.229
11/19/2015,17.195,17.195
11/20/2015,17.001,17.001
11/23/2015,17.229,17.229
11/24/2015,17.211,17.211
11/25/2015,17.178,17.178
11/27/2015,17.203,17.203
11/30/2015,17.275,17.275
12/1/2015,17.346,17.346
12/2/2015,17.141,17.141
12/3/2015,16.867,16.867
12/4/2015,17.921,17.921
12/7/2015,17.275,17.275
12/8/2015,17.178,17.178
12/9/2015,17.01,17.01
12/10/2015,17.141,17.141
12/11/2015,17,17
12/14/2015,17.834,17.834
12/15/2015,18.16,18.16
12/16/2015,18.169,18.169
12/17/2015,18.321,18.321
12/18/2015,18.24,18.24
12/21/2015,17.753,17.753
12/22/2015,17.611,17.611
12/23/2015,17.888,17.888
12/24/2015,17.665,17.665
12/28/2015,18.056,18.056
12/29/2015,18.259,18.259
12/30/2015,18.267,18.267
12/31/2015,17.775,17.775
1/4/2016,17.589,17.589
1/5/2016,17.706,17.706
1/6/2016,17.877,17.877
1/7/2016,17.465,17.465
1/8/2016,17.065,17.065
1/11/2016,17.198,17.198
1/12/2016,17.215,17.215
1/13/2016,16.985,16.985
1/14/2016,16.639,16.639
1/15/2016,16.273,16.273
1/19/2016,15.365,15.365
1/20/2016,15.667,15.667
1/21/2016,15.86,15.86
1/22/2016,15.65,15.65
1/25/2016,15.496,15.496
1/26/2016,15.747,15.747
1/27/2016,15.659,15.659
1/28/2016,15.794,15.794
1/29/2016,16.374,16.374
2/1/2016,16.482,16.482
2/2/2016,16.416,16.416
2/3/2016,16.563,16.563
2/4/2016,16.885,16.885
2/5/2016,16.974,16.974
2/8/2016,16.946,16.946
2/9/2016,17.279,17.279
2/10/2016,17.377,17.377
2/11/2016,16.939,16.939
2/12/2016,17.287,17.287
2/16/2016,17.287,17.287
2/17/2016,17.7,17.7
2/18/2016,17.788,17.788
2/19/2016,17.6,17.6
2/22/2016,17.555,17.555
2/23/2016,17.538,17.538
2/24/2016,17.788,17.788
2/25/2016,17.896,17.896
2/26/2016,17.011,17.011
2/29/2016,17.109,17.109
3/1/2016,17.37,17.37
3/2/2016,17.737,17.737
3/3/2016,17.865,17.865
3/4/2016,17.963,17.963
3/7/2016,17.908,17.908
3/8/2016,17.712,17.712
3/9/2016,17.892,17.892
3/10/2016,17.935,17.935
3/11/2016,17.972,17.972
3/14/2016,17.972,17.972
3/15/2016,17.631,17.631
3/16/2016,17.737,17.737
3/17/2016,17.917,17.917
3/18/2016,17.603,17.603
3/21/2016,17.641,17.641
3/22/2016,17.541,17.541
3/23/2016,17.344,17.344
3/24/2016,17.386,17.386
3/28/2016,17.513,17.513
3/29/2016,17.668,17.668
3/30/2016,17.831,17.831
3/31/2016,17.918,17.918
4/1/2016,17.746,17.746
4/4/2016,17.712,17.712
4/5/2016,17.44,17.44
4/6/2016,17.204,17.204
4/7/2016,16.988,16.988
4/8/2016,17.142,17.142
4/11/2016,17.179,17.179
4/12/2016,17.07,17.07
4/13/2016,17.393,17.393
4/14/2016,17.422,17.422
4/15/2016,17.44,17.44
4/18/2016,17.332,17.332
4/19/2016,17.46,17.46
4/20/2016,17.384,17.384
4/21/2016,16.906,16.906
4/22/2016,17.07,17.07
4/25/2016,17.061,17.061
4/26/2016,17.116,17.116
4/27/2016,17.125,17.125
4/28/2016,17.188,17.188
4/29/2016,17.213,17.213
5/2/2016,16.997,16.997
5/3/2016,17.106,17.106
5/4/2016,17.26,17.26
5/5/2016,17.169,17.169
5/6/2016,17.343,17.343
5/9/2016,17.47,17.47
5/10/2016,17.724,17.724
5/11/2016,17.377,17.377
5/12/2016,17.232,17.232
5/13/2016,17.188,17.188
5/16/2016,17.298,17.298
5/17/2016,16.942,16.942
5/18/2016,16.914,16.914
5/19/2016,16.468,16.468
5/20/2016,16.552,16.552
5/23/2016,16.543,16.543
5/24/2016,16.814,16.814
5/25/2016,17.006,17.006
5/26/2016,16.633,16.633
5/27/2016,16.768,16.768
5/31/2016,16.669,16.669
6/1/2016,16.87,16.87
6/2/2016,17.127,17.127
6/3/2016,17.127,17.127
6/6/2016,16.951,16.951
6/7/2016,16.942,16.942
6/8/2016,16.935,16.935
6/9/2016,16.87,16.87
6/10/2016,16.459,16.459
6/13/2016,16.449,16.449
6/14/2016,16.411,16.411
6/15/2016,16.613,16.613
6/16/2016,16.677,16.677
6/17/2016,16.814,16.814
6/20/2016,16.97,16.97
6/21/2016,17.007,17.007
6/22/2016,17.015,17.015
6/23/2016,17.127,17.127
6/24/2016,16.906,16.906
6/27/2016,16.368,16.368
6/28/2016,16.759,16.759
6/29/2016,17.136,17.136
6/30/2016,17.294,17.294
7/1/2016,17.384,17.384
7/5/2016,17.478,17.478
7/6/2016,17.506,17.506
7/7/2016,17.568,17.568
7/8/2016,17.78,17.78
7/11/2016,17.917,17.917
7/12/2016,17.982,17.982
7/13/2016,18.11,18.11
7/14/2016,18.13,18.13
7/15/2016,18.277,18.277
7/18/2016,18.267,18.267
7/19/2016,18.425,18.425
7/20/2016,18.47,18.47
7/21/2016,18.628,18.628
7/22/2016,18.717,18.717
7/25/2016,18.691,18.691
7/26/2016,18.479,18.479
7/27/2016,18.691,18.691
7/28/2016,18.929,18.929
7/29/2016,18.821,18.821
8/1/2016,18.91,18.91
8/2/2016,18.671,18.671
8/3/2016,18.469,18.469
8/4/2016,18.587,18.587
8/5/2016,18.569,18.569
8/8/2016,18.578,18.578
8/9/2016,18.477,18.477
8/10/2016,18.402,18.402
8/11/2016,18.089,18.089
8/12/2016,18.182,18.182
8/15/2016,18.265,18.265
8/16/2016,18.283,18.283
8/17/2016,18.265,18.265
8/18/2016,18.366,18.366
8/19/2016,18.459,18.459
8/22/2016,18.441,18.441
8/23/2016,18.274,18.274
8/24/2016,18.162,18.162
8/25/2016,18.2,18.2
8/26/2016,18.182,18.182
8/29/2016,18.126,18.126
8/30/2016,18.116,18.116
8/31/2016,18.219,18.219
9/1/2016,17.586,17.586
9/2/2016,17.4,17.4
9/6/2016,17.375,17.375
9/7/2016,17.272,17.272
9/8/2016,17.254,17.254
9/9/2016,16.938,16.938
9/12/2016,17.244,17.244
9/13/2016,16.901,16.901
9/14/2016,16.975,16.975
9/15/2016,17.142,17.142
9/16/2016,17.049,17.049
9/19/2016,17.169,17.169
9/20/2016,17.189,17.189
9/21/2016,17.365,17.365
9/22/2016,17.458,17.458
9/23/2016,17.523,17.523
9/26/2016,17.32,17.32
9/27/2016,17.197,17.197
9/28/2016,17.3,17.3
9/29/2016,17.244,17.244
9/30/2016,17.28,17.28
10/3/2016,17.215,17.215
10/4/2016,17.058,17.058
10/5/2016,16.964,16.964
10/6/2016,17.085,17.085
10/7/2016,17.011,17.011
10/10/2016,17.206,17.206
10/11/2016,17.067,17.067
10/12/2016,17.141,17.141
10/13/2016,17.272,17.272
10/14/2016,17.169,17.169
10/17/2016,17.085,17.085
10/18/2016,17.189,17.189
10/19/2016,17.206,17.206
10/20/2016,17.02,17.02
10/21/2016,16.992,16.992
10/24/2016,17.076,17.076
10/25/2016,16.936,16.936
10/26/2016,16.786,16.786
10/27/2016,16.637,16.637
10/28/2016,16.647,16.647
10/31/2016,16.928,16.928
11/1/2016,16.694,16.694
11/2/2016,16.59,16.59
11/3/2016,16.411,16.411
11/4/2016,16.618,16.618
11/7/2016,16.815,16.815
11/8/2016,16.722,16.722
11/9/2016,16.544,16.544
11/10/2016,16.383,16.383
11/11/2016,16.459,16.459
11/14/2016,17.05,17.05
11/15/2016,16.704,16.704
11/16/2016,16.637,16.637
11/17/2016,16.684,16.684
11/18/2016,16.704,16.704
11/21/2016,16.731,16.731
11/22/2016,17.03,17.03
11/23/2016,17.088,17.088
11/25/2016,17.228,17.228
11/28/2016,17.144,17.144
11/29/2016,17.642,17.642
11/30/2016,17.405,17.405
12/1/2016,17.888,17.888
12/2/2016,18.077,18.077
12/5/2016,18.338,18.338
12/6/2016,18.472,18.472
12/7/2016,18.634,18.634
12/8/2016,18.566,18.566
12/9/2016,18.625,18.625
12/12/2016,18.625,18.625
12/13/2016,18.586,18.586
12/14/2016,18.446,18.446
12/15/2016,18.358,18.358
12/16/2016,18.455,18.455
12/19/2016,18.595,18.595
12/20/2016,18.576,18.576
12/21/2016,18.557,18.557
12/22/2016,18.576,18.576
12/23/2016,18.679,18.679
12/27/2016,18.726,18.726
12/28/2016,18.679,18.679
12/29/2016,18.869,18.869
12/30/2016,18.955,18.955
1/3/2017,19.175,19.175
1/4/2017,19.315,19.315
1/5/2017,19.087,19.087
1/6/2017,19.04,19.04
1/9/2017,19.04,19.04
1/10/2017,19.22,19.22
1/11/2017,19.165,19.165
1/12/2017,19.106,19.106
1/13/2017,19.096,19.096
1/17/2017,19.096,19.096
1/18/2017,19.165,19.165
1/19/2017,19.023,19.023
1/20/2017,19.175,19.175
1/23/2017,19.277,19.277
1/24/2017,19.239,19.239
1/25/2017,19.365,19.365
1/26/2017,19.582,19.582
1/27/2017,19.375,19.375
1/30/2017,19.125,19.125
1/31/2017,18.995,18.995
2/1/2017,18.774,18.774
2/2/2017,18.868,18.868
2/3/2017,19.014,19.014
2/6/2017,18.925,18.925
2/7/2017,19.023,19.023
2/8/2017,19.077,19.077
2/9/2017,19.196,19.196
2/10/2017,19.394,19.394
2/13/2017,19.459,19.459
2/14/2017,19.518,19.518
2/15/2017,19.528,19.528
2/16/2017,19.459,19.459
2/17/2017,19.297,19.297
2/21/2017,19.508,19.508
2/22/2017,19.43,19.43
2/23/2017,19.221,19.221
2/24/2017,19.249,19.249
2/27/2017,19.278,19.278
2/28/2017,18.725,18.725
3/1/2017,18.966,18.966
3/2/2017,18.834,18.834
3/3/2017,18.267,18.267
3/6/2017,18.218,18.218
3/7/2017,18.341,18.341
3/8/2017,18.056,18.056
3/9/2017,17.95,17.95
3/10/2017,17.912,17.912
3/13/2017,17.977,17.977
3/14/2017,17.987,17.987
3/15/2017,18.258,18.258
3/16/2017,18.267,18.267
3/17/2017,18.267,18.267
3/20/2017,18.159,18.159
3/21/2017,17.921,17.921
3/22/2017,17.854,17.854
3/23/2017,17.854,17.854
3/24/2017,17.854,17.854
3/27/2017,17.777,17.777
3/28/2017,17.825,17.825
3/29/2017,17.997,17.997
3/30/2017,18.286,18.286
3/31/2017,18.401,18.401
4/3/2017,18.314,18.314
4/4/2017,18.248,18.248
4/5/2017,18.178,18.178
4/6/2017,18.371,18.371
4/7/2017,18.208,18.208
4/10/2017,18.361,18.361
4/11/2017,18.441,18.441
4/12/2017,18.371,18.371
4/13/2017,18.332,18.332
4/17/2017,18.431,18.431
4/18/2017,18.323,18.323
4/19/2017,18.46,18.46
4/20/2017,18.478,18.478
4/21/2017,18.431,18.431
4/24/2017,18.487,18.487
4/25/2017,18.614,18.614
4/26/2017,18.652,18.652
4/27/2017,18.604,18.604
4/28/2017,18.138,18.138
5/1/2017,18.302,18.302
5/2/2017,18.4,18.4
5/3/2017,18.39,18.39
5/4/2017,18.39,18.39
5/5/2017,18.554,18.554
5/8/2017,18.186,18.186
5/9/2017,18.012,18.012
5/10/2017,18.022,18.022
5/11/2017,18.032,18.032
5/12/2017,17.878,17.878
5/15/2017,18.042,18.042
5/16/2017,17.934,17.934
5/17/2017,17.731,17.731
5/18/2017,18.1,18.1
5/19/2017,18.186,18.186
5/22/2017,18.226,18.226
5/23/2017,18.216,18.216
5/24/2017,18.45,18.45
5/25/2017,18.206,18.206
5/26/2017,18.246,18.246
5/30/2017,18.196,18.196
5/31/2017,18.226,18.226
6/1/2017,18.361,18.361
6/2/2017,18.351,18.351
6/5/2017,18.313,18.313
6/6/2017,18.216,18.216
6/7/2017,18.196,18.196
6/8/2017,18.411,18.411
6/9/2017,18.536,18.536
6/12/2017,18.616,18.616
6/13/2017,18.877,18.877
6/14/2017,18.886,18.886
6/15/2017,18.831,18.831
6/16/2017,18.857,18.857
6/19/2017,19.071,19.071
6/20/2017,18.956,18.956
6/21/2017,18.731,18.731
6/22/2017,18.616,18.616
6/23/2017,18.586,18.586
6/26/2017,18.701,18.701
6/27/2017,18.517,18.517
6/28/2017,18.751,18.751
6/29/2017,18.439,18.439
6/30/2017,18.311,18.311
7/3/2017,18.625,18.625
7/5/2017,18.321,18.321
7/6/2017,18.144,18.144
7/7/2017,18.193,18.193
7/10/2017,17.929,17.929
7/11/2017,18.017,18.017
7/12/2017,18.027,18.027
7/13/2017,18.135,18.135
7/14/2017,18.282,18.282
7/17/2017,18.468,18.468
7/18/2017,18.213,18.213
7/19/2017,18.203,18.203
7/20/2017,17.821,17.821
7/21/2017,17.89,17.89
7/24/2017,17.763,17.763
7/25/2017,17.851,17.851
7/26/2017,17.635,17.635
7/27/2017,17.871,17.871
7/28/2017,17.959,17.959
7/31/2017,18.067,18.067
8/1/2017,18.174,18.174
8/2/2017,17.977,17.977
8/3/2017,17.81,17.81
8/4/2017,17.889,17.889
8/7/2017,17.938,17.938
8/8/2017,17.623,17.623
8/9/2017,17.476,17.476
8/10/2017,17.309,17.309
8/11/2017,17.594,17.594
8/14/2017,17.683,17.683
8/15/2017,17.81,17.81
8/16/2017,17.899,17.899
8/17/2017,17.741,17.741
8/18/2017,17.633,17.633
8/21/2017,17.633,17.633
8/22/2017,17.722,17.722
8/23/2017,17.643,17.643
8/24/2017,17.614,17.614
8/25/2017,17.604,17.604
8/28/2017,17.466,17.466
8/29/2017,17.525,17.525
8/30/2017,17.702,17.702
8/31/2017,17.989,17.989
9/1/2017,18.009,18.009
9/5/2017,17.861,17.861
9/6/2017,18.059,18.059
9/7/2017,17.999,17.999
9/8/2017,18.147,18.147
9/11/2017,18.395,18.395
9/12/2017,18.385,18.385
9/13/2017,18.623,18.623
9/14/2017,18.543,18.543
9/15/2017,18.563,18.563
9/18/2017,18.493,18.493
9/19/2017,18.395,18.395
9/20/2017,18.523,18.523
9/21/2017,18.445,18.445
9/22/2017,18.455,18.455
9/25/2017,18.455,18.455
9/26/2017,18.553,18.553
9/27/2017,18.583,18.583
9/28/2017,18.701,18.701
9/29/2017,18.711,18.711
10/2/2017,18.761,18.761
10/3/2017,18.671,18.671
10/4/2017,18.761,18.761
10/5/2017,18.821,18.821
10/6/2017,18.771,18.771
10/9/2017,18.771,18.771
10/10/2017,18.85,18.85
10/11/2017,18.89,18.89
10/12/2017,19.139,19.139
10/13/2017,19.119,19.119
10/16/2017,19.02,19.02
10/17/2017,18.95,18.95
10/18/2017,19.089,19.089
10/19/2017,19.109,19.109
10/20/2017,18.95,18.95
10/23/2017,18.791,18.791
10/24/2017,18.94,18.94
10/25/2017,18.811,18.811
10/26/2017,18.791,18.791
10/27/2017,18.801,18.801
10/30/2017,18.671,18.671
10/31/2017,18.84,18.84
11/1/2017,18.93,18.93
11/2/2017,18.92,18.92
11/3/2017,18.87,18.87
11/6/2017,18.91,18.91
11/7/2017,19.06,19.06
11/8/2017,19.27,19.27
11/9/2017,19.23,19.23
11/10/2017,19.13,19.13
